Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,,abt-total,75784,5209,70575,43981,3049,40932,31803,2160,29643
Total,,EFZ,70145,5053,65092,40748,2955,37793,29397,2098,27299
Total,,EBA,5608,125,5483,3229,90,3139,2379,35,2344
Total,,nReglementiert,31,31,0,4,4,0,27,27,0
Total,ZH,abt-total,12081,124,11957,6699,84,6615,5382,40,5342
Total,ZH,EFZ,11111,121,10990,6170,81,6089,4941,40,4901
Total,ZH,EBA,970,3,967,529,3,526,441,0,441
Total,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BE,abt-total,10155,548,9607,5758,355,5403,4397,193,4204
Total,BE,EFZ,9349,454,8895,5269,271,4998,4080,183,3897
Total,BE,EBA,806,94,712,489,84,405,317,10,307
Total,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,LU,abt-total,4050,22,4028,2256,8,2248,1794,14,1780
Total,LU,EFZ,3657,22,3635,2059,8,2051,1598,14,1584
Total,LU,EBA,393,0,393,197,0,197,196,0,196
Total,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Total,UR,abt-total,424,0,424,237,0,237,187,0,187
Total,UR,EFZ,404,0,404,226,0,226,178,0,178
Total,UR,EBA,20,0,20,11,0,11,9,0,9
Total,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SZ,abt-total,1213,0,1213,709,0,709,504,0,504
Total,SZ,EFZ,1126,0,1126,653,0,653,473,0,473
Total,SZ,EBA,87,0,87,56,0,56,31,0,31
Total,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Total,OW,abt-total,378,0,378,218,0,218,160,0,160
Total,OW,EFZ,347,0,347,206,0,206,141,0,141
Total,OW,EBA,31,0,31,12,0,12,19,0,19
Total,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,NW,abt-total,372,0,372,213,0,213,159,0,159
Total,NW,EFZ,362,0,362,212,0,212,150,0,150
Total,NW,EBA,10,0,10,1,0,1,9,0,9
Total,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,GL,abt-total,479,0,479,285,0,285,194,0,194
Total,GL,EFZ,440,0,440,261,0,261,179,0,179
Total,GL,EBA,39,0,39,24,0,24,15,0,15
Total,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Total,ZG,abt-total,1250,0,1250,729,0,729,521,0,521
Total,ZG,EFZ,1168,0,1168,691,0,691,477,0,477
Total,ZG,EBA,82,0,82,38,0,38,44,0,44
Total,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,FR,abt-total,2768,174,2594,1714,124,1590,1054,50,1004
Total,FR,EFZ,2623,168,2455,1633,124,1509,990,44,946
Total,FR,EBA,145,6,139,81,0,81,64,6,58
Total,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SO,abt-total,2177,43,2134,1286,26,1260,891,17,874
Total,SO,EFZ,1925,43,1882,1150,26,1124,775,17,758
Total,SO,EBA,252,0,252,136,0,136,116,0,116
Total,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BS,abt-total,1980,47,1933,1012,31,981,968,16,952
Total,BS,EFZ,1726,44,1682,903,30,873,823,14,809
Total,BS,EBA,254,3,251,109,1,108,145,2,143
Total,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BL,abt-total,2046,0,2046,1274,0,1274,772,0,772
Total,BL,EFZ,1828,0,1828,1154,0,1154,674,0,674
Total,BL,EBA,218,0,218,120,0,120,98,0,98
