FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,Total,,abt-total,78432,7865,70567,44894,4461,40433,33538,3404,30134
Total,Total,,EFZ,71322,7609,63713,40969,4312,36657,30353,3297,27056
Total,Total,,EBA,7077,225,6852,3916,141,3775,3161,84,3077
Total,Total,,nReglementiert,33,31,2,9,8,1,24,23,1
Total,Total,ZH,abt-total,12285,171,12114,6685,115,6570,5600,56,5544
Total,Total,ZH,EFZ,11137,170,10967,6054,114,5940,5083,56,5027
Total,Total,ZH,EBA,1148,1,1147,631,1,630,517,0,517
Total,Total,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,BE,abt-total,10584,919,9665,5890,572,5318,4694,347,4347
Total,Total,BE,EFZ,9583,786,8797,5325,467,4858,4258,319,3939
Total,Total,BE,EBA,1001,133,868,565,105,460,436,28,408
Total,Total,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,LU,abt-total,4146,134,4012,2280,52,2228,1866,82,1784
Total,Total,LU,EFZ,3711,134,3577,2058,52,2006,1653,82,1571
Total,Total,LU,EBA,435,0,435,222,0,222,213,0,213
Total,Total,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,UR,abt-total,388,0,388,223,0,223,165,0,165
Total,Total,UR,EFZ,374,0,374,216,0,216,158,0,158
Total,Total,UR,EBA,14,0,14,7,0,7,7,0,7
Total,Total,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,SZ,abt-total,1249,21,1228,720,10,710,529,11,518
Total,Total,SZ,EFZ,1155,21,1134,671,10,661,484,11,473
Total,Total,SZ,EBA,94,0,94,49,0,49,45,0,45
Total,Total,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,OW,abt-total,390,12,378,241,6,235,149,6,143
Total,Total,OW,EFZ,361,12,349,227,6,221,134,6,128
Total,Total,OW,EBA,29,0,29,14,0,14,15,0,15
Total,Total,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,NW,abt-total,397,0,397,221,0,221,176,0,176
Total,Total,NW,EFZ,376,0,376,212,0,212,164,0,164
Total,Total,NW,EBA,21,0,21,9,0,9,12,0,12
Total,Total,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,GL,abt-total,418,0,418,255,0,255,163,0,163
Total,Total,GL,EFZ,370,0,370,227,0,227,143,0,143
Total,Total,GL,EBA,48,0,48,28,0,28,20,0,20
Total,Total,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,ZG,abt-total,1343,72,1271,759,40,719,584,32,552
Total,Total,ZG,EFZ,1224,64,1160,697,32,665,527,32,495
Total,Total,ZG,EBA,119,8,111,62,8,54,57,0,57
Total,Total,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,Total,FR,abt-total,2880,261,2619,1748,155,1593,1132,106,1026
Total,Total,FR,EFZ,2668,261,2407,1638,155,1483,1030,106,924
Total,Total,FR,EBA,212,0,212,110,0,110,102,0,102
Total,Total,FR,nReglementiert,0,0,0,0,0,0,0,0,0
