"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2011";"Geschlecht - Total Vollschulisch 2011";"Geschlecht - Total Dual 2011";"Mann Ausbildungsform - Total 2011";"Mann Vollschulisch 2011";"Mann Dual 2011";"Frau Ausbildungsform - Total 2011";"Frau Vollschulisch 2011";"Frau Dual 2011"
"Ausbildungsfeld - Total";"Schweiz";"Ausbildungstyp - Total";75784;5209;70575;43981;3049;40932;31803;2160;29643
"Ausbildungsfeld - Total";"Schweiz";"EFZ";70145;5053;65092;40748;2955;37793;29397;2098;27299
"Ausbildungsfeld - Total";"Schweiz";"EBA";5608;125;5483;3229;90;3139;2379;35;2344
"Ausbildungsfeld - Total";"Schweiz";"Nicht reglementiert";31;31;0;4;4;0;27;27;0
"Ausbildungsfeld - Total";"Zürich";"Ausbildungstyp - Total";12081;124;11957;6699;84;6615;5382;40;5342
"Ausbildungsfeld - Total";"Zürich";"EFZ";11111;121;10990;6170;81;6089;4941;40;4901
"Ausbildungsfeld - Total";"Zürich";"EBA";970;3;967;529;3;526;441;0;441
"Ausbildungsfeld - Total";"Zürich";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Bern / Berne";"Ausbildungstyp - Total";10155;548;9607;5758;355;5403;4397;193;4204
"Ausbildungsfeld - Total";"Bern / Berne";"EFZ";9349;454;8895;5269;271;4998;4080;183;3897
"Ausbildungsfeld - Total";"Bern / Berne";"EBA";806;94;712;489;84;405;317;10;307
"Ausbildungsfeld - Total";"Bern / Berne";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Luzern";"Ausbildungstyp - Total";4050;22;4028;2256;8;2248;1794;14;1780
"Ausbildungsfeld - Total";"Luzern";"EFZ";3657;22;3635;2059;8;2051;1598;14;1584
"Ausbildungsfeld - Total";"Luzern";"EBA";393;0;393;197;0;197;196;0;196
"Ausbildungsfeld - Total";"Luzern";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Uri";"Ausbildungstyp - Total";424;0;424;237;0;237;187;0;187
"Ausbildungsfeld - Total";"Uri";"EFZ";404;0;404;226;0;226;178;0;178
"Ausbildungsfeld - Total";"Uri";"EBA";20;0;20;11;0;11;9;0;9
"Ausbildungsfeld - Total";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Schwyz";"Ausbildungstyp - Total";1213;0;1213;709;0;709;504;0;504
